Date,A23,B23,C23,D23,,A24,B24,C24,D24,,A19,B19,C19,D19,,A20,B20,C20,D20,,A25,B25,C25,D25,,GEN MW POWER OUTPUT,TOTAL COAL FLOW,MAIN STEAM FLOW,BLR TOTAL AIR FLOW,SH ATMP-1A SPRAY CTRL 50% VLV,SH ATMP-1B SPRAY CTRL 50% VLV,CID FAN A BLADE PITCH POS,FD FAN B BLADE PITCH FB,TOT OFA FLOW,ECO INLT FW FLOW 1
2021-01-01 10:00,35.43636687,28.76770446,34.71490412,32.49145106,,33.62701753,24.45723588,27.41960373,34.2874053,,67.14485368,53.44566723,59.67449558,49.49992711,,66.56894477,52.65149587,54.57934482,43.60214328,,67.61026133,54.9612289,54.00400967,41.25980835,,803.27,290.4,2108.19,2760.39,52.76,30.63,49.46,39.46,731.86,2014.57
2021-01-01 11:00,35.92364349,28.43778707,34.46220221,32.46918731,,34.81552789,25.22670368,27.2661559,34.33738475,,70.2263355,53.15969697,59.36217959,49.27626254,,71.3940626,52.02769996,53.82966834,42.61349057,,68.17108692,55.00170878,53.88556931,40.66477164,,802.7,287.17,2104.75,2761.77,56.47,42.55,49.43,39.57,742.8,1989.56
2021-01-01 12:00,36.21583045,27.91924656,33.63672153,32.21171664,,35.64699496,24.34645162,26.78315651,34.24347194,,73.69279055,54.12062356,60.05867957,50.24295629,,74.74848849,52.16366588,54.02971084,43.1383973,,69.14255698,55.17776568,53.92461269,40.71912992,,802.82,286.3,2096.31,2762.46,46.85,22.24,49.42,39.64,745.19,2020.68
2021-01-01 13:00,36.72142183,30.425347,37.18962658,33.08990578,,35.0878102,24.09338926,26.93267461,34.24845224,,69.1883141,55.48927522,61.65940932,51.81101359,,69.76155504,53.31893111,55.37874264,43.75715193,,69.56527934,55.74708637,54.63971207,42.64717317,,803.55,286.75,2093.14,2767.34,46.61,30.6,49.39,39.8,748.85,1999.55
2021-01-01 14:00,35.97700772,30.12450368,36.43610527,32.93022892,,33.89375534,24.12527662,27.16050393,34.25991554,,69.18883045,54.20750309,60.40254204,50.57966156,,68.36388484,53.49240673,55.10833095,43.575292,,68.36415436,55.72451333,54.45945334,41.67718065,,803.65,288.39,2102.29,2770.82,53.07,30.87,49.78,40.03,751.23,2004.13
2021-01-01 15:00,36.28880226,30.23428859,36.21328557,32.93884298,,33.46818038,23.32515784,26.73063866,34.24153982,,69.58882402,54.44888458,60.60593319,50.87878178,,70.58762283,51.8921113,53.88272569,42.23264339,,68.40458624,55.71319609,54.31044658,41.39496183,,804.44,287.7,2095.6,2761.75,54.43,38.77,49.51,39.8,741.5,1990.01
2021-01-01 16:00,35.28668733,28.28351255,33.80582851,32.40995445,,33.96956727,24.29252116,27.23092488,34.4342271,,66.47188701,51.39704074,57.52906592,47.19149041,,67.23256881,52.37508606,53.97229847,42.61600423,,67.76287702,55.13646552,53.79686977,40.33965419,,799.61,287.71,2081.99,2757.23,35.95,27.73,49.45,39.78,737.47,2010.59
2021-01-01 17:00,34.98178525,27.61752612,33.38848234,32.2981671,,34.23031816,24.29410138,27.18151094,34.36488654,,65.81118129,50.0162349,56.18017423,45.41082555,,67.0986694,54.57783445,56.22883455,44.8508584,,67.28926611,54.4807551,53.36192155,39.77745947,,802.95,288.74,2090.9,2794.11,40.52,31.59,50.31,40.59,776.22,2004
2021-01-01 18:00,34.85290004,26.91302054,32.64025571,32.22531572,,34.42752697,24.09082595,27.13691407,34.37964916,,65.29061372,49.02008001,54.99829236,44.40055005,,67.2018083,54.43028283,55.82069634,44.62333904,,67.48812389,54.73339229,53.38281864,39.52668157,,801.67,287.84,2097.67,2783.53,43.77,48.15,50.03,40.34,765.84,1992.54
2021-01-01 19:00,34.65696714,25.59013041,31.66066548,32.12891315,,34.07578339,23.69963917,26.60047451,34.24441912,,64.48076102,46.72914924,52.46487962,41.28466265,,66.97498548,54.22243692,55.621549,44.69218199,,67.56766816,54.58386867,52.95328449,38.71583451,,795.62,285.34,2083.73,2735.07,32.64,52.29,49.02,39.25,716.26,1991.09
2021-01-01 20:00,35.16256369,26.80371201,32.505617,32.38269169,,34.98253061,24.92913025,26.53015323,34.19461872,,64.96662565,49.09963137,54.94355794,44.13537167,,66.59965028,54.72616747,56.36261876,45.50774163,,67.19921595,53.95791193,52.56156531,39.01338469,,708.22,255.57,1833.55,2447.28,40.78,34.08,43.64,33.81,456.93,1757.41
2021-01-01 21:00,36.75563531,30.47081356,36.50923825,33.55490117,,35.26750993,25.23122841,27.57196353,34.13323495,,68.82838022,54.47413944,61.05108186,51.07968646,,68.11667488,56.20708741,58.34952404,47.51431977,,66.06431719,53.60203267,52.97089113,41.11505604,,735.75,269.9,1919.01,2554.87,49.27,27.12,45.83,36.02,540.11,1841.31
2021-01-01 22:00,35.43637185,29.62765504,35.27495087,33.11930486,,35.00535941,25.08766312,28.15793856,34.51076203,,68.21162613,53.75594937,60.08563117,49.82530731,,69.05835504,54.63786466,56.53471469,45.41268273,,66.59490782,54.09212491,53.27671189,40.84978596,,801.94,284.98,2102.58,2720.01,39.92,6.56,49.03,39.49,731.73,2050.62
2021-01-01 23:00,35.43388831,29.09112665,35.87491581,32.90674923,,35.24191622,25.31696915,27.87202847,34.41088128,,66.30367501,51.17913227,57.12345698,46.32365059,,66.95652768,54.02254944,55.83751448,44.72733266,,68.0660392,55.4441714,53.97351086,40.42210417,,803.83,287.56,2104.25,2683.9,51.76,18.81,47.92,40.08,867.39,2015.24
