Date,A3,B3,C3,D3,,A4,B4,C4,D4,,A5,B5,C5,D5,,A6,B6,C6,D6,,A7,B7,C7,D7,,GEN MW POWER OUTPUT,TOTAL COAL FLOW,MAIN STEAM FLOW,BLR TOTAL AIR FLOW,SH ATMP-1A SPRAY CTRL 50% VLV,SH ATMP-1B SPRAY CTRL 50% VLV,CID FAN A BLADE PITCH POS,FD FAN B BLADE PITCH FB,TOT OFA FLOW,ECO INLT FW FLOW 1
2021-01-02 0:00,52.61959415,39.5441302,44.37389951,36.11968873,,49.4200525,41.21109494,46.45272174,39.98079458,,51.02641186,43.48333991,46.70161765,38.95373092,,54.57861913,49.65523471,53.69834567,44.46606333,,55.2154706,50.46860205,55.22846928,45.27671497,,798.83,286.38,2090.02,2655.68,56.08,28.73,47.67,39.61,845.79,1991.35
2021-01-02 1:00,51.6670145,40.0463313,45.18017649,37.07001425,,48.41229575,41.92756487,47.25385464,40.25360977,,50.61454828,44.21931706,47.72506847,40.6016028,,53.17202379,50.40766944,55.34669322,45.62270173,,55.32569123,50.23515846,55.1068322,44.8403056,,801.5,287.3,2090.59,2671.99,54.86,46.95,47.9,39.99,853.95,1978.32
2021-01-02 2:00,50.74990308,39.95692594,44.93995871,36.57292732,,47.65968869,41.19240269,46.00438994,39.93671341,,50.29104349,43.10214203,46.42511143,39.10504274,,52.63877372,49.08178357,54.05322268,44.5739139,,54.37695806,48.87088655,53.52969792,43.21454308,,802.58,286.79,2087.74,2655.11,49.46,49.85,47.42,39.67,843.78,1976.65
2021-01-02 3:00,50.13300126,38.90049213,43.50147363,35.28410084,,47.55194965,41.12637286,45.69196939,40.05443937,,49.66153523,42.24429208,45.65835962,38.46215243,,51.97660486,47.98422729,53.16666224,44.22529683,,55.36111364,49.21577789,53.7254186,43.17282168,,794.38,284.74,2067.47,2632.19,49.61,29.67,46.83,39.07,825.13,1981.21
2021-01-02 4:00,50.31421093,38.81070018,43.56968285,36.26956929,,48.04849487,40.82448313,45.41037916,39.83258591,,50.50119963,43.75791547,47.09946944,40.29517254,,52.9052257,49.02210846,53.90893456,44.97151449,,55.30869897,48.92919915,53.64769834,43.04425891,,793.61,284.54,2064.91,2637.63,56.98,23.84,46.87,39.11,826.49,1968.44
2021-01-02 5:00,49.69477,38.47285918,43.27686465,36.24240593,,46.79644897,40.28756352,44.78488036,39.65701094,,50.39850358,43.73917706,46.9285525,39.77694508,,53.4009134,49.42105009,54.33745215,45.42541105,,55.03471259,48.50787895,53.28996119,42.55201165,,792.47,285.83,2057.1,2634.96,65.45,26.73,46.83,38.97,821.44,1955.14
2021-01-02 6:00,49.69726227,38.50239858,43.27512162,36.24729919,,46.71073707,40.28277017,44.78783687,39.67858158,,50.21198469,43.36601603,46.56430167,39.66134802,,52.85488148,48.46197958,53.55663529,44.6748416,,54.88017142,48.00821801,52.83485214,42.05157072,,792.32,285.31,2058.5,2627.72,65.25,36.97,46.69,38.79,817.73,1947.48
2021-01-02 7:00,49.38299046,38.36042751,43.21665934,36.27115421,,46.0427713,40.33290293,44.9394108,39.85488769,,49.22223832,42.18774513,45.67639374,38.92129099,,52.56539733,48.09183891,53.23210687,44.72376226,,54.64292631,47.75968133,52.44135423,41.62977269,,794.74,285.53,2070.28,2650.51,76.34,35.03,47.04,39.09,838.37,1948.44
2021-01-02 8:00,50.50574814,38.5538763,43.23643163,36.23229123,,46.76324763,40.48386294,44.82702446,39.77512602,,49.1282416,41.87350497,45.31091429,38.48033581,,53.62937242,49.70801599,54.0665766,45.4984986,,55.55439887,48.08625398,52.46122741,41.82029008,,802.17,288.33,2106.56,2679.16,80.24,31.12,47.86,39.6,856.12,1987.87
2021-01-02 9:00,53.87762065,38.98402439,43.59341987,36.36197429,,49.68400858,40.56680095,45.09827409,39.93168583,,53.12916691,41.62504245,45.02505057,37.93332715,,57.51010054,49.31551855,53.35097507,44.88903939,,56.61230145,48.60569872,52.86362279,42.12328329,,801.03,289.54,2103.04,2677.89,82,46.1,47.92,39.56,844.8,1968.29
